|원형|현재형|과거형|과거분사형|현재분사형|
|luxuriate|luxuriates|luxuriated|luxuriated|luxuriating|
|magnify|magnifies|magnified|magnified|magnifying|
|mail|mails|mailed|mailed|mailing|
|maintain|maintains|maintained|maintained|maintaining|
|make|makes|made|made|making|
|manage|manages|managed|managed|managing|
|mandate|mandates|mandated|mandated|mandating|
|maneuver|maneuvers|maneuvered|maneuvered|maneuvering|
|manifest|manifests|manifested|manifested|manifesting|
|manipulate|manipulates|manipulated|manipulated|manipulating|
|manufacture|manufactures|manufactured|manufactured|manufacturing|
|map|maps|mapped|mapped|mapping|
|march|marches|marched|marched|marching|
|mark|marks|marked|marked|marking|
|market|markets|marketed|marketed|marketing|
|marry|marries|married|married|marrying|
|marvel|marvels|marveled|marveled|marveling|
|mask|masks|masked|masked|masking|
|massage|massages|massaged|massaged|massaging|
|match|matches|matched|matched|matching|
|materialize|materializes|materialized|materialized|materializing|
|matter|matters|mattered|mattered|mattering|
|mature|matures|matured|matured|maturing|
|maximize|maximizes|maximized|maximized|maximizing|
|mean|means|meant|meant|meaning|
|measure|measures|measured|measured|measuring|
|mediate|mediates|mediated|mediated|mediating|
|meditate|meditates|meditated|meditated|meditating|
|meet|meets|met|met|meeting|
|melt|melts|melted|melted|melting|
|memorize|memorizes|memorized|memorized|memorizing|
|mend|mends|mended|mended|mending|
|mention|mentions|mentioned|mentioned|mentioning|
|mentor|mentors|mentored|mentored|mentoring|
|merge|merges|merged|merged|merging|
|merit|merits|merited|merited|meriting|
|message|messages|messaged|messaged|messaging|
|metabolize|metabolizes|metabolized|metabolized|metabolizing|
|migrate|migrates|migrated|migrated|migrating|
|milk|milks|milked|milked|milking|
|mimic|mimics|mimicked|mimicked|mimicking|
|mind|minds|minded|minded|minding|
|mine|mines|mined|mined|mining|
|minimize|minimizes|minimized|minimized|minimizing|
|minister|ministers|ministered|ministered|ministering|
|mint|mints|minted|minted|minting|
|mirror|mirrors|mirrored|mirrored|mirroring|
|misinterpret|misinterprets|misinterpreted|misinterpreted|misinterpreting|
|miss|misses|missed|missed|missing|
|misspell|misspells|misspelled|misspelled|misspelling|
|mistake|mistakes|mistook|mistaken|mistaking|
|mistrust|mistrusts|mistrusted|mistrusted|mistrusting|
|misunderstand|misunderstands|misunderstood|misunderstood|misunderstanding|
|misuse|misuses|misused|misused|misusing|
|mix|mixes|mixed|mixed|mixing|
|moan|moans|moaned|moaned|moaning|
|mobilize|mobilizes|mobilized|mobilized|mobilizing|
|mock|mocks|mocked|mocked|mocking|
|model|models|modeled|modeled|modeling|
|moderate|moderates|moderated|moderated|moderating|
|modernize|modernizes|modernized|modernized|modernizing|
|modify|modifies|modified|modified|modifying|
|moisten|moistens|moistened|moistened|moistening|
|mold|molds|molded|molded|molding|
|monitor|monitors|monitored|monitored|monitoring|
|monopolize|monopolizes|monopolized|monopolized|monopolizing|
|moor|moors|moored|moored|mooring|
|mop|mops|mopped|mopped|mopping|
|motivate|motivates|motivated|motivated|motivating|
|mourn|mourns|mourned|mourned|mourning|
|move|moves|moved|moved|moving|
|mow|mows|mowed|mowed/mown|mowing|
|muddle|muddles|muddled|muddled|muddling|
|mug|mugs|mugged|mugged|mugging|
|multiply|multiplies|multiplied|multiplied|multiplying|
|mumble|mumbles|mumbled|mumbled|mumbling|
|murder|murders|murdered|murdered|murdering|
|murmur|murmurs|murmured|murmured|murmuring|
|muse|muses|mused|mused|musing|
|muster|musters|mustered|mustered|mustering|
|mutate|mutates|mutated|mutated|mutating|
|mute|mutes|muted|muted|muting|
|mutilate|mutilates|mutilated|mutilated|mutilating|
|mutter|mutters|muttered|muttered|muttering|
|nag|nags|nagged|nagged|nagging|
|nail|nails|nailed|nailed|nailing|
|name|names|named|named|naming|
|nap|naps|napped|napped|napping|
|narrate|narrates|narrated|narrated|narrating|
|narrow|narrows|narrowed|narrowed|narrowing|
|navigate|navigates|navigated|navigated|navigating|
|need|needs|needed|needed|needing|
|neglect|neglects|neglected|neglected|neglecting|
|negotiate|negotiates|negotiated|negotiated|negotiating|
|neighbor|neighbors|neighbored|neighbored|neighboring|
|nest|nests|nested|nested|nesting|
|network|networks|networked|networked|networking|
|neutralize|neutralizes|neutralized|neutralized|neutralizing|
|nod|nods|nodded|nodded|nodding|
|nominate|nominates|nominated|nominated|nominating|
|normalize|normalizes|normalized|normalized|normalizing|
|note|notes|noted|noted|noting|
|notice|notices|noticed|noticed|noticing|
|notify|notifies|notified|notified|notifying|
|nourish|nourishes|nourished|nourished|nourishing|
|nudge|nudges|nudged|nudged|nudging|
|nullify|nullifies|nullified|nullified|nullifying|
|number|numbers|numbered|numbered|numbering|
|nurture|nurtures|nurtured|nurtured|nurturing|
|obey|obeys|obeyed|obeyed|obeying|
|object|objects|objected|objected|objecting|
|oblige|obliges|obliged|obliged|obliging|
|obscure|obscures|obscured|obscured|obscuring|
|observe|observes|observed|observed|observing|
|obsess|obsesses|obsessed|obsessed|obsessing|
|obtain|obtains|obtained|obtained|obtaining|
|occasion|occasions|occasioned|occasioned|occasioning|
|occupy|occupies|occupied|occupied|occupying|
|occur|occurs|occurred|occurred|occurring|
|offend|offends|offended|offended|offending|
|offer|offers|offered|offered|offering|
|officiate|officiates|officiated|officiated|officiating|
|offset|offsets|offset|offset|offsetting|
|omit|omits|omitted|omitted|omitting|
|open|opens|opened|opened|opening|
|operate|operates|operated|operated|operating|
|opine|opines|opined|opined|opining|
|oppose|opposes|opposed|opposed|opposing|
|oppress|oppresses|oppressed|oppressed|oppressing|
|opt|opts|opted|opted|opting|
|optimize|optimizes|optimized|optimized|optimizing|
|orchestrate|orchestrates|orchestrated|orchestrated|orchestrating|
|order|orders|ordered|ordered|ordering|
|organize|organizes|organized|organized|organizing|
|orient|orients|oriented|oriented|orienting|
|originate|originates|originated|originated|originating|
|oscillate|oscillates|oscillated|oscillated|oscillating|
|overdo|overdoes|overdid|overdone|overdoing|
|overflow|overflows|overflowed|overflowed|overflowing|
|overhear|overhears|overheard|overheard|overhearing|
|overlap|overlaps|overlapped|overlapped|overlapping|
|overlook|overlooks|overlooked|overlooked|overlooking|
|oversee|oversees|oversaw|overseen|overseeing|
|overtake|overtakes|overtook|overtaken|overtaking|
|overthrow|overthrows|overthrew|overthrown|overthrowing|
|overturn|overturns|overturned|overturned|overturning|
|overwhelm|overwhelms|overwhelmed|overwhelmed|overwhelming|
|owe|owes|owed|owed|owing|
|own|owns|owned|owned|owning|
|pack|packs|packed|packed|packing|
|pad|pads|padded|padded|padding|
|paint|paints|painted|painted|painting|
|pair|pairs|paired|paired|pairing|
|pal|pals|palled|palled|palling|
|pamper|pampers|pampered|pampered|pampering|
|panic|panics|panicked|panicked|panicking|
|parade|parades|paraded|paraded|parading|
|paralyze|paralyzes|paralyzed|paralyzed|paralyzing|
|paraphrase|paraphrases|paraphrased|paraphrased|paraphrasing|
|pardon|pardons|pardoned|pardoned|pardoning|
|pare|pares|pared|pared|paring|
|park|parks|parked|parked|parking|
|part|parts|parted|parted|parting|
|participate|participates|participated|participated|participating|
|partition|partitions|partitioned|partitioned|partitioning|
|partner|partners|partnered|partnered|partnering|
|party|parties|partied|partied|partying|
|pass|passes|passed|passed|passing|
|paste|pastes|pasted|pasted|pasting|
|pat|pats|patted|patted|patting|
|patch|patches|patched|patched|patching|
|patent|patents|patented|patented|patenting|
|patrol|patrols|patrolled|patrolled|patrolling|
|patronize|patronizes|patronized|patronized|patronizing|
|pause|pauses|paused|paused|pausing|
|pave|paves|paved|paved|paving|
|pay|pays|paid|paid|paying|
|peak|peaks|peaked|peaked|peaking|
|peck|pecks|pecked|pecked|pecking|
|pedal|pedals|pedaled|pedaled|pedaling|
|peek|peeks|peeked|peeked|peeking|
|peel|peels|peeled|peeled|peeling|
|peer|peers|peered|peered|peering|
|penalize|penalizes|penalized|penalized|penalizing|
|penetrate|penetrates|penetrated|penetrated|penetrating|
|perceive|perceives|perceived|perceived|perceiving|
|perfect|perfects|perfected|perfected|perfecting|
|perform|performs|performed|performed|performing|
|perfume|perfumes|perfumed|perfumed|perfuming|
|perish|perishes|perished|perished|perishing|
|permit|permits|permitted|permitted|permitting|
|perpetuate|perpetuates|perpetuated|perpetuated|perpetuating|
|perplex|perplexes|perplexed|perplexed|perplexing|
|persecute|persecutes|persecuted|persecuted|persecuting|
|persevere|perseveres|persevered|persevered|persevering|
|persist|persists|persisted|persisted|persisting|
|persuade|persuades|persuaded|persuaded|persuading|
|pertain|pertains|pertained|pertained|pertaining|
|peruse|peruses|perused|perused|perusing|
|pervade|pervades|pervaded|pervaded|pervading|
|pet|pets|petted|petted|petting|
|phase|phases|phased|phased|phasing|
|philosophize|philosophizes|philosophized|philosophized|philosophizing|
|phone|phones|phoned|phoned|phoning|
|photocopy|photocopies|photocopied|photocopied|photocopying|
|photograph|photographs|photographed|photographed|photographing|
|pick|picks|picked|picked|picking|
|picket|pickets|picketed|picketed|picketing|
|pickle|pickles|pickled|pickled|pickling|
|picture|pictures|pictured|pictured|picturing|
|piece|pieces|pieced|pieced|piecing|
|pierce|pierces|pierced|pierced|piercing|
|pile|piles|piled|piled|piling|
|pillage|pillages|pillaged|pillaged|pillaging|
|pilot|pilots|piloted|piloted|piloting|
|pin|pins|pinned|pinned|pinning|
|pinch|pinches|pinched|pinched|pinching|
|pine|pines|pined|pined|pining|
|pioneer|pioneers|pioneered|pioneered|pioneering|
|pipe|pipes|piped|piped|piping|
|pit|pits|pitted|pitted|pitting|
|pitch|pitches|pitched|pitched|pitching|
|pity|pities|pitied|pitied|pitying|
|pivot|pivots|pivoted|pivoted|pivoting|
|place|places|placed|placed|placing|
|plagiarize|plagiarizes|plagiarized|plagiarized|plagiarizing|
|plan|plans|planned|planned|planning|
|plant|plants|planted|planted|planting|
|plaster|plasters|plastered|plastered|plastering|
|play|plays|played|played|playing|
|plead|pleads|pleaded|pleaded|pleading|
|please|pleases|pleased|pleased|pleasing|
|pledge|pledges|pledged|pledged|pledging|
|plod|plods|plodded|plodded|plodding|
|plot|plots|plotted|plotted|plotting|
|plow|plows|plowed|plowed|plowing|
|pluck|plucks|plucked|plucked|plucking|
|plug|plugs|plugged|plugged|plugging|
|plummet|plummets|plummeted|plummeted|plummeting|
|plunge|plunges|plunged|plunged|plunging|
|point|points|pointed|pointed|pointing|
|poise|poises|poised|poised|poising|
|poison|poisons|poisoned|poisoned|poisoning|
|poke|pokes|poked|poked|poking|
|polish|polishes|polished|polished|polishing|
|pollute|pollutes|polluted|polluted|polluting|
|ponder|ponders|pondered|pondered|pondering|
|pontificate|pontificates|pontificated|pontificated|pontificating|
|pop|pops|popped|popped|popping|
|populate|populates|populated|populated|populating|
|possess|possesses|possessed|possessed|possessing|
|post|posts|posted|posted|posting|
|postpone|postpones|postponed|postponed|postponing|
|pour|pours|poured|poured|pouring|
|pout|pouts|pouted|pouted|pouting|
|practice|practices|practiced|practiced|practicing|
|praise|praises|praised|praised|praising|
|prance|prances|pranced|pranced|prancing|
|pray|prays|prayed|prayed|praying|
|preach|preaches|preached|preached|preaching|
|precede|precedes|preceded|preceded|preceding|
|precipitate|precipitates|precipitated|precipitated|precipitating|
|predetermine|predetermines|predetermined|predetermined|predetermining|
|predict|predicts|predicted|predicted|predicting|
|predominate|predominates|predominated|predominated|predominating|
|prefer|prefers|preferred|preferred|preferring|
|prepare|prepares|prepared|prepared|preparing|
|prescribe|prescribes|prescribed|prescribed|prescribing|
|present|presents|presented|presented|presenting|
|preserve|preserves|preserved|preserved|preserving|
|preside|presides|presided|presided|presiding|
|press|presses|pressed|pressed|pressing|
|pressure|pressures|pressured|pressured|pressuring|
|presume|presumes|presumed|presumed|presuming|
|pretend|pretends|pretended|pretended|pretending|
|prevail|prevails|prevailed|prevailed|prevailing|
|prevent|prevents|prevented|prevented|preventing|
|prick|pricks|pricked|pricked|pricking|
|pride|prides|prided|prided|priding|
|print|prints|printed|printed|printing|
|prioritize|prioritizes|prioritized|prioritized|prioritizing|
|probe|probes|probed|probed|probing|
|proceed|proceeds|proceeded|proceeded|proceeding|
|process|processes|processed|processed|processing|
|proclaim|proclaims|proclaimed|proclaimed|proclaiming|
|procrastinate|procrastinates|procrastinated|procrastinated|procrastinating|
|procure|procures|procured|procured|procuring|
|produce|produces|produced|produced|producing|
|profess|professes|professed|professed|professing|
|proffer|proffers|proffered|proffered|proffering|
|profit|profits|profited|profited|profiting|
|program|programs|programmed|programmed|programming|
|progress|progresses|progressed|progressed|progressing|
|prohibit|prohibits|prohibited|prohibited|prohibiting|
|project|projects|projected|projected|projecting|
|proliferate|proliferates|proliferated|proliferated|proliferating|
|prolong|prolongs|prolonged|prolonged|prolonging|
|promise|promises|promised|promised|promising|
|promote|promotes|promoted|promoted|promoting|
|prompt|prompts|prompted|prompted|prompting|
|promulgate|promulgates|promulgated|promulgated|promulgating|
|pronounce|pronounces|pronounced|pronounced|pronouncing|
|proof|proofs|proofed|proofed|proofing|
|propagate|propagates|propagated|propagated|propagating|
|propel|propels|propelled|propelled|propelling|
|proper|propers|propered|propered|propering|
|prophesy|prophesies|prophesied|prophesied|prophesying|
|propose|proposes|proposed|proposed|proposing|
|prosecute|prosecutes|prosecuted|prosecuted|prosecuting|
|prospect|prospects|prospected|prospected|prospecting|
|protect|protects|protected|protected|protecting|
|protest|protests|protested|protested|protesting|
|protrude|protrudes|protruded|protruded|protruding|
|proud|prouds|prouded|prouded|prouding|
|prove|proves|proved|proven|proving|
|provide|provides|provided|provided|providing|
|provoke|provokes|provoked|provoked|provoking|
|prowl|prowls|prowled|prowled|prowling|
|prune|prunes|pruned|pruned|pruning|
|pry|pries|pried|pried|prying|
|publicize|publicizes|publicized|publicized|publicizing|
|publish|publishes|published|published|publishing|
|pucker|puckers|puckered|puckered|puckering|
|pull|pulls|pulled|pulled|pulling|
|pulverize|pulverizes|pulverized|pulverized|pulverizing|
|pummel|pummels|pummeled|pummeled|pummeling|
|pump|pumps|pumped|pumped|pumping|
|punch|punches|punched|punched|punching|
|punctuate|punctuates|punctuated|punctuated|punctuating|
|puncture|punctures|punctured|punctured|puncturing|
|punish|punishes|punished|punished|punishing|
|purchase|purchases|purchased|purchased|purchasing|
|purge|purges|purged|purged|purging|
|purify|purifies|purified|purified|purifying|
|purr|purrs|purred|purred|purring|
|pursue|pursues|pursued|pursued|pursuing
|quarrel|quarrels|quarreled/quarrelled|quarreled/quarrelled|quarreling/quarrelling
|qualify|qualifies|qualified|qualified|qualifying
|question|questions|questioned|questioned|questioning
|queue|queues|queued|queued|queuing
|quit|quits|quit|quit|quitting
|quote|quotes|quoted|quoted|quoting
|race|races|raced|raced|racing
|rain|rains|rained|raine|draining
|raise|raises|raised|raised|raising
|reach|reaches|reached|reached|reaching
|read|reads|read|read|reading
|realize|realizes|realized|realized|realizing
|receive|receives|received|received|receiving
|recognize|recognizes|recognized|recognized|recognizing
|recommend|recommends|recommended|recommended|recommending
|record|records|recorded|recorded|recording
|reduce|reduces|reduced|reduced|reducing
|reflect|reflects|reflected|reflected|reflecting
|refuse|refuses|refused|refused|refusing
|regard|regards|regarded|regarded|regarding
|register|registers|registered|registered|registering
|regret|regrets|regretted|regretted|regretting
|relate|relates|related|related|relating
|relax|relaxes|relaxed|relaxed|relaxing
|release|releases|released|released|releasing
|rely|relies|relied|relied|relying
|remain|remains|remained|remained|remaining
|remember|remembers|remembered|remembered|remembering
|remind|reminds|reminded|reminded|reminding
|remove|removes|removed|removed|removing
|repair|repairs|repaired|repaired|repairing
|repeat|repeats|repeated|repeated|repeating
|replace|replaces|replaced|replaced|replacing
|reply|replies|replied|replied|replying
|report|reports|reported|reported|reporting
|represent|represents|represented|represented|representing
|require|requires|required|required|requiring
|rescue|rescues|rescued|rescued|rescuing
|respond|responds|responded|responded|responding
|rest|rests|rested|rested|resting
|result|results|resulted|resulted|resulting
|retire|retires|retired|retired|retiring
|return|returns|returned|returned|returning
|reveal|reveals|revealed|revealed|revealing
|review|reviews|reviewed|reviewed|reviewing
|ride|rides|rode|ridden|riding
|ring|rings|rang|rung|ringing
|rise|rises|rose|risen|rising
|run|runs|ran|run|running
|tabulate|tabulates|tabulated|tabulated|tabulating|
|tack|tacks|tacked|tacked|tacking|
|tackle|tackles|tackled|tackled|tackling|
|tag|tags|tagged|tagged|tagging|
|tail|tails|tailed|tailed|tailing|
|tailor|tailors|tailored|tailored|tailoring|
|taint|taints|tainted|tainted|tainting|
|take|takes|took|taken|taking|
|talk|talks|talked|talked|talking|
|tally|tallies|tallied|tallied|tallying|
|tame|tames|tamed|tamed|taming|
|tamper|tampers|tampered|tampered|tampering|
|tan|tans|tanned|tanned|tanning|
|tangle|tangles|tangled|tangled|tangling|
|tap|taps|tapped|tapped|tapping|
|tape|tapes|taped|taped|taping|
|target|targets|targeted|targeted|targeting|
|tarnish|tarnishes|tarnished|tarnished|tarnishing|
|task|tasks|tasked|tasked|tasking|
|taste|tastes|tasted|tasted|tasting|
|tatter|tatters|tattered|tattered|tattering|
|tattoo|tattoos|tattooed|tattooed|tattooing|
|taunt|taunts|taunted|taunted|taunting|
|tax|taxes|taxed|taxed|taxing|
|teach|teaches|taught|taught|teaching|
|team|teams|teamed|teamed|teaming|
|tear|tears|tore|torn|tearing|
|tease|teases|teased|teased|teasing|
|telephone|telephones|telephoned|telephoned|telephoning|
|televise|televises|televised|televised|televising|
|tell|tells|told|told|telling|
|temper|tempers|tempered|tempered|tempering|
|tempt|tempts|tempted|tempted|tempting|
|tend|tends|tended|tended|tending|
|tender|tenders|tendered|tendered|tendering|
|tense|tenses|tensed|tensed|tensing|
|tent|tents|tented|tented|tenting|
|terminate|terminates|terminated|terminated|terminating|
|terrify|terrifies|terrified|terrified|terrifying|
|terrorize|terrorizes|terrorized|terrorized|terrorizing|
|test|tests|tested|tested|testing|
|testify|testifies|testified|testified|testifying|
|thank|thanks|thanked|thanked|thanking|
|thaw|thaws|thawed|thawed|thawing|
|theorize|theorizes|theorized|theorized|theorizing|
|think|thinks|thought|thought|thinking|
|thirst|thirsts|thirsted|thirsted|thirsting|
|threaten|threatens|threatened|threatened|threatening|
|thresh|threshes|threshed|threshed|threshing|
|thrill|thrills|thrilled|thrilled|thrilling|
|thrive|thrives|thrived|thrived|thriving|
|throb|throbs|throbbed|throbbed|throbbing|
|throttle|throttles|throttled|throttled|throttling|
|throw|throws|threw|thrown|throwing|
|thrust|thrusts|thrust|thrust|thrusting|
|thump|thumps|thumped|thumped|thumping|
|thunder|thunders|thundered|thundered|thundering|
|thwart|thwarts|thwarted|thwarted|thwarting|
|tick|ticks|ticked|ticked|ticking|
|tickle|tickles|tickled|tickled|tickling|
|tide|tides|tided|tided|tiding|
|tidy|tidies|tidied|tidied|tidying|
|tie|ties|tied|tied|tying|
|tighten|tightens|tightened|tightened|tightening|
|tile|tiles|tiled|tiled|tiling|
|till|tills|tilled|tilled|tilling|
|tilt|tilts|tilted|tilted|tilting|
|time|times|timed|timed|timing|
|tin|tins|tinned|tinned|tinning|
|tinge|tinges|tinged|tinged|tingeing|
|tingle|tingles|tingled|tingled|tingling|
|tinker|tinkers|tinkered|tinkered|tinkering|
|tint|tints|tinted|tinted|tinting|
|tip|tips|tipped|tipped|tipping|
|tipple|tipples|tippled|tippled|tippling|
|tire|tires|tired|tired|tiring|
|titillate|titillates|titillated|titillated|titillating|
|title|titles|titled|titled|titling|
|titter|titters|tittered|tittered|tittering|
|toast|toasts|toasted|toasted|toasting|
|toboggan|toboggans|tobogganed|tobogganed|tobogganing|
|toddle|toddles|toddled|toddled|toddling|
|toe|toes|toed|toed|toeing|
|tog|togs|togged|togged|togging|
|toggle|toggles|toggled|toggled|toggling|
|toil|toils|toiled|toiled|toiling|
|tolerate|tolerates|tolerated|tolerated|tolerating|
|toll|tolls|tolled|tolled|tolling|
|tone|tones|toned|toned|toning|
|tongue|tongues|tongued|tongued|tonguing|
|tool|tools|tooled|tooled|tooling|
|toot|toots|tooted|tooted|tooting|
|top|tops|topped|topped|topping|
|topple|topples|toppled|toppled|toppling|
|torment|torments|tormented|tormented|tormenting|
|torpedo|torpedoes|torpedoed|torpedoed|torpedoing|
|torque|torques|torqued|torqued|torquing|
|torture|tortures|tortured|tortured|torturing|
|toss|tosses|tossed|tossed|tossing|
|total|totals|totaled|totaled|totaling|
|totter|totters|tottered|tottered|tottering|
|touch|touches|touched|touched|touching|
|tough|toughs|toughed|toughed|toughing|
|tour|tours|toured|toured|touring|
|tousle|tousles|tousled|tousled|tousling|
|tout|touts|touted|touted|touting|
|tow|tows|towed|towed|towing|
|towel|towels|toweled|toweled|toweling|
|tower|towers|towered|towered|towering|
|trace|traces|traced|traced|tracing|
|track|tracks|tracked|tracked|tracking|
|trade|trades|traded|traded|trading|
|trail|trails|trailed|trailed|trailing|
|train|trains|trained|trained|training|
|trammel|trammels|trammeled|trammeled|trammeling|
|tramp|tramps|tramped|tramped|tramping|
|trample|tramples|trampled|trampled|trampling|
|trance|trances|tranced|tranced|trancing|
|transact|transacts|transacted|transacted|transacting|
|transcend|transcends|transcended|transcended|transcending|
|transcribe|transcribes|transcribed|transcribed|transcribing|
|transfer|transfers|transferred|transferred|transferring|
|transform|transforms|transformed|transformed|transforming|
|transgress|transgresses|transgressed|transgressed|transgressing|
|transit|transits|transited|transited|transiting|
|translate|translates|translated|translated|translating|
|transmit|transmits|transmitted|transmitted|transmitting|
|transpire|transpires|transpired|transpired|transpiring|
|transplant|transplants|transplanted|transplanted|transplanting|
|transport|transports|transported|transported|transporting|
|transpose|transposes|transposed|transposed|transposing|
|trap|traps|trapped|trapped|trapping|
|trash|trashes|trashed|trashed|trashing|
|traumatize|traumatizes|traumatized|traumatized|traumatizing|
|travel|travels|traveled|traveled|traveling|
|traverse|traverses|traversed|traversed|traversing|
|trawl|trawls|trawled|trawled|trawling|
|tread|treads|trod|trodden|treading|
|treasure|treasures|treasured|treasured|treasuring|
|treat|treats|treated|treated|treating|
|treble|trebles|trebled|trebled|trebling|
|tree|trees|treed|treed|treeing|
|trek|treks|trekked|trekked|trekking|
|tremble|trembles|trembled|trembled|trembling|
|trend|trends|trended|trended|trending|
|trespass|trespasses|trespassed|trespassed|trespassing|
|trial|trials|trialed|trialed|trialing|
|triangulate|triangulates|triangulated|triangulated|triangulating|
|trick|tricks|tricked|tricked|tricking|
|trickle|trickles|trickled|trickled|trickling|
|trigger|triggers|triggered|triggered|triggering|
|trim|trims|trimmed|trimmed|trimming|
|trip|trips|tripped|tripped|tripping|
|triple|triples|tripled|tripled|tripling|
|triumph|triumphs|triumphed|triumphed|triumphing|
|trivialize|trivializes|trivialized|trivialized|trivializing|
|troll|trolls|trolled|trolled|trolling|
|troop|troops|trooped|trooped|trooping|
|trouble|troubles|troubled|troubled|troubling|
|trounce|trounces|trounced|trounced|trouncing|
|truck|trucks|trucked|trucked|trucking|
|trudge|trudges|trudged|trudged|trudging|
|true|trues|trued|trued|truing|
|trump|trumps|trumped|trumped|trumping|
|trumpet|trumpets|trumpeted|trumpeted|trumpeting|
|truncate|truncates|truncated|truncated|truncating|
|trundle|trundles|trundled|trundled|trundling|
|trust|trusts|trusted|trusted|trusting|
|try|tries|tried|tried|trying|
|tuck|tucks|tucked|tucked|tucking|
|tug|tugs|tugged|tugged|tugging|
|tumble|tumbles|tumbled|tumbled|tumbling|
|tune|tunes|tuned|tuned|tuning|
|tunnel|tunnels|tunneled|tunneled|tunneling|
|turf|turfs|turfed|turfed|turfing|
|turn|turns|turned|turned|turning|
|tutor|tutors|tutored|tutored|tutoring|
|twang|twangs|twanged|twanged|twanging|
|tweak|tweaks|tweaked|tweaked|tweaking|
|tweet|tweets|tweeted|tweeted|tweeting|
|twiddle|twiddles|twiddled|twiddled|twiddling|
|twine|twines|twined|twined|twining|
|twinkle|twinkles|twinkled|twinkled|twinkling|
|twirl|twirls|twirled|twirled|twirling|
|twist|twists|twisted|twisted|twisting|
|twitch|twitches|twitched|twitched|twitching|
|twitter|twitters|twittered|twittered|twittering|
|type|types|typed|typed|typing|
|typify|typifies|typified|typified|typifying|
|tyrannize|tyrannizes|tyrannized|tyrannized|tyrannizing|
|ulcerate|ulcerates|ulcerated|ulcerated|ulcerating|
|umpire|umpires|umpired|umpired|umpiring|
|unbalance|unbalances|unbalanced|unbalanced|unbalancing|
|unbend|unbends|unbent|unbent|unbending|
|unblock|unblocks|unblocked|unblocked|unblocking|
|unbuckle|unbuckles|unbuckled|unbuckled|unbuckling|
|unburden|unburdens|unburdened|unburdened|unburdening|
|unbutton|unbuttons|unbuttoned|unbuttoned|unbuttoning|
|unclasp|unclasps|unclasped|unclasped|unclasping|
|uncoil|uncoils|uncoiled|uncoiled|uncoiling|
|uncover|uncovers|uncovered|uncovered|uncovering|
|uncouple|uncouples|uncoupled|uncoupled|uncoupling|
|undecorate|undecorates|undecorated|undecorated|undecorating|
|undergo|undergoes|underwent|undergone|undergoing|
|underline|underlines|underlined|underlined|underlining|
|undermine|undermines|undermined|undermined|undermining|
|underpay|underpays|underpaid|underpaid|underpaying|
|underscore|underscores|underscored|underscored|underscoring|
|understand|understands|understood|understood|understanding|
|undertake|undertakes|undertook|undertaken|undertaking|
|undervalue|undervalues|undervalued|undervalued|undervaluing|
|underwater|underwaters|underwatered|underwatered|underwatering|
|underwrite|underwrites|underwrote|underwritten|underwriting|
|undo|undoes|undid|undone|undoing|
|undress|undresses|undressed|undressed|undressing|
|undulate|undulates|undulated|undulated|undulating|
|unfasten|unfastens|unfastened|unfastened|unfastening|
|unfold|unfolds|unfolded|unfolded|unfolding|
|unfurl|unfurls|unfurled|unfurled|unfurling|
|unglue|unglues|unglued|unglued|ungluing|
|unhand|unhands|unhanded|unhanded|unhanding|
|unhinge|unhinges|unhinged|unhinged|unhinging|
|unhitch|unhitches|unhitched|unhitched|unhitching|
|unhook|unhooks|unhooked|unhooked|unhooking|
|unify|unifies|unified|unified|unifying|
|union|unions|unioned|unioned|unioning|
|unite|unites|united|united|uniting|
|unjam|unjams|unjammed|unjammed|unjamming|
|unkink|unkinks|unkinked|unkinked|unkinking|
|unknot|unknots|unknotted|unknotted|unknotting|
|unlace|unlaces|unlaced|unlaced|unlacing|
|unlatch|unlatches|unlatched|unlatched|unlatching|
|unload|unloads|unloaded|unloaded|unloading|
|unlock|unlocks|unlocked|unlocked|unlocking|
|unloose|unlooses|unloosed|unloosed|unloosing|
|unmake|unmakes|unmade|unmade|unmaking|
|unmask|unmasks|unmasked|unmasked|unmasking|
|unnerve|unnerves|unnerved|unnerved|unnerving|
|unpack|unpacks|unpacked|unpacked|unpacking|
|unpick|unpicks|unpicked|unpicked|unpicking|
|unplug|unplugs|unplugged|unplugged|unplugging|
|unravel|unravels|unraveled|unraveled|unraveling|
|unroll|unrolls|unrolled|unrolled|unrolling|
|unscrew|unscrews|unscrewed|unscrewed|unscrewing|
|unseal|unseals|unsealed|unsealed|unsealing|
|unseat|unseats|unseated|unseated|unseating|
|unsettle|unsettles|unsettled|unsettled|unsettling|
|untangle|untangles|untangled|untangled|untangling|
|unthink|unthinks|unthought|unthought|unthinking|
|untie|unties|untied|untied|untying|
|untold|untolds|untolded|untolded|untolding|
|unwind|unwinds|unwound|unwound|unwinding|
|unwrap|unwraps|unwrapped|unwrapped|unwrapping|
|unzip|unzips|unzipped|unzipped|unzipping|
|up|ups|upped|upped|upping|
|upbraid|upbraids|upbraided|upbraided|upbraiding|
|update|updates|updated|updated|updating|
|upend|upends|upended|upended|upending|
|upgrade|upgrades|upgraded|upgraded|upgrading|
|uphold|upholds|upheld|upheld|upholding|
|upholster|upholsters|upholstered|upholstered|upholstering|
|uplift|uplifts|uplifted|uplifted|uplifting|
|upload|uploads|uploaded|uploaded|uploading|
|uproot|uproots|uprooted|uprooted|uprooting|
|upset|upsets|upset|upset|upsetting|
